Code,Title,Credits,AH,SE,SS,ACGH,DD,OL,QL,SL,VL,WC,WE,Desc
HIN 002,"Elementary Hindi/Urdu II",5,5,,,,,,,,,5,,"Lecture/Discussion-5 hour(s). Prerequisite(s): HIN 001. Continuation of HIN 001. Devanagari Script through development of all language skills in a cultural context with emphasis on communicative proficiency."
HIN 003,"Elementary Hindi/Urdu III",5,5,,,,,,,,,5,,"Lecture/Discussion-5 hour(s). Prerequisite(s): HIN 002. Introduction to listening, speaking, reading, and writing skills in Hindi using the Devanagari script and brief introduction to basic literacy in Urdu using the Nasataliq script."
HIN 021,"Intermediate Hindi/Urdu I",4,4,,,,,4,,,,4,,"Lecture/Discussion-4 hour(s). Prerequisite(s): HIN 003. Intermediate level course for students who have completed Elementary Hindi/Urdu or the equivalent. Students will continue to practice their skills in listening, speaking, reading and writing in Hindi and Urdu."
HIN 022,"Intermediate Hindi/Urdu II",4,4,,,,,4,,,,4,,"Lecture/Discussion-4 hour(s). Prerequisite(s): HIN 021. Intermediate level course where students will continue to practice their skills in listening, speaking, reading and writing in Hindi and Urdu."
HIN 023,"Intermediate Hindi/Urdu III",4,4,,,,,4,,,,4,,"Lecture/Discussion-4 hour(s). Prerequisite(s): HIN 022. Intermediate level course where students will continue to practice their skills in listening, speaking, reading and writing in Hindi and Urdu."
HIN 098,"Directed Group Study",1-5,,,,,,,,,,,,"Variable-1-5 hour(s). Prerequisite(s): Consent of Instructor. Directed group study. May be repeated for credit. (P/ NP grading only.)"
HIN 099,"Special Study for Undergraduates",1-5,,,,,,,,,,,,"Variable-1-5 hour(s). Prerequisite(s): Consent of Instructor. Special study. May be repeated for credit. (P/NP grading only.)"
HIN 396,"Teaching Assistant Training Practicum",1-4,,,,,,,,,,,,"Variable-1-4 hour(s). Prerequisite(s): Consent of Instructor. Restricted to graduate students. Teaching practicum. May be repeated up to 18 time(s). (S/U grading only.)"
HIS 001,"Introduction to History",2,,,2,,,,,,,2,2,"Lecture-1 hour(s); Discussion-1 hour(s). Introduction to history, its key methodologies, writing tasks, and research practices. Examination of the development of history as an academic discipline; ethics in historical research. Topical focus changes regularly."
HIS 002,"Introduction to the History of Science & Technology",4,4,,4,,,,,4,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Introduction to topics and methods of the history of science and technology. Emphasis on understanding the role of science and technology in the modern world through a longterm historical perspective. (Same course as STS 002.)"
HIS 003,"Cities: A Survey of World Cultures",4,4,,4,,,,,,,4,,"Lecture-3 hour(s); Lecture/Discussion-1 hour(s). Survey of urban world cultures, focusing on up to ten cities selected by the instructor."
HIS 004A,"History of Western Civilization",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Growth of western civilization from late antiquity to the Renaissance."
HIS 004B,"History of Western Civilization",4,4,,4,,,,,,4,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). History of western civilization from the Renaissance to the 18th century."
HIS 004C,"History of Western Civilization",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Development of Western Civilization from the 18th century to the present."
HIS 005,"Modernist Culture",2,2,,,,,,,,2,2,,"Lecture/Discussion-2 hour(s). Modernist culture in global perspective. Introduction to early 20th-century innovations in visual arts, music, literature, film, and architecture in Europe, the Americas, Asia, and Africa."
HIS 006,"Introduction to the Middle East",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Survey of the major social, economic, political and cultural transformations in the Middle East from the rise of Islam (c.600A.D.) to the present, emphasizing themes in religion and culture, politics and society."
HIS 007A,"History of Latin America to 1700",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Introduction to the history of Spanish and Portuguese America from the late pre-Columbian period through the initial phase and consolidation of a colonial regime (circa 1700). Topics include conquest, colonialism, racial mixture, gender, and labor systems."
HIS 007B,"History of Latin America, 1700-1900",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Latin America from colony to republic. The nature of Iberian colonialism, the causes for independence, the creation of nation states, the difficulties in consolidating these nations, and the rise of Liberalism and export economies in the 19th century."
HIS 007C,"History of Latin America 1900-present",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Latin America since the beginning of the 20th century. Themes include export economies, oligarchic rule, crises of depression and war, corporatism, populism, revolution and reform movements, cultural and ethnic issues, U.S.-Latin American relations, neo-liberal restructuring."
HIS 008,"History of Indian Civilization",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Survey of Indian civilization from the rise of cities (ca. 2000 B.C.) to the present, emphasizing themes in religion, social and political organization, and art and literature that reflect cultural interaction and change."
HIS 009A,"History of East Asian Civilization",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Surveys traditional Chinese civilization and its modern transformation. Emphasis is on thought and religion, political and social life, art and literature. Perspectives on contemporary China are provided."
HIS 009B,"History of East Asian Civilization",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Surveys traditional Japanese civilization and its modern transformation. Emphasis is on thought and religion, political and social life, art and literature. Perspectives on contemporary Japan are provided."
HIS 009C,"Korean Culture & Society: From Ancient Three Kingdoms to the Global K-Pop",4,4,,,,,,,,,4,,"Lecture/Discussion-4 hour(s). Evolution of Korean society from Three Kingdoms period (B.C.E 57 to C.E. 676) to the contemporary era emphasizing the perseverance and transformations of traditional social and cultural patterns. (Same course as EAS 088.)"
HIS 010A,"World History to 1350",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Historical examination of the changing relationship of human societies to one another and to their natural settings through the year 1350, with particular attention to long-term trends and to periodic crises that reshaped the links of culture and nature on a global scale."
HIS 010B,"World History, c. 1350-1850",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Major topics in world history from the 14th century to the beginning of the 19th century. Topics will vary but may include: oceans as systems of human communication and conflict; the global consequences of "industrious revolutions" in Europe and Asia, etc."
HIS 010C,"World History III",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Major topics from world history of the 19th and 20th centuries, emphasizing the rise and fall of Western colonial empires; Cold War and the superpowers; the spread of the nation-states; and process of globalization."
HIS 011,"History of the Jewish People in the Modern World",4,4,,,,4,,,,4,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Histories and cultures of the Jews since 1492. Topics include: the making of Jewish diasporas, roots of antisemitism, the Holocaust in images and texts, changing ideas of the self, Jews in America, contemporary visions of the Jewish past."
HIS 012,"Food & History",4,4,,4,,,4,,,4,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Survey of the ways humans have fed themselves from the dawn of humanity to the present. Transformation of plants and animals into food, cooking into cuisine, and ceremony into etiquette."
HIS 013,"Global Sexualities",4,4,,4,,4,,,,4,4,,"Lecture-3 hour(s); Discussion-1 hour(s). Global history of sexualities, including comparative study of gender, marriage, and fertility before 1800, followed by the modern history of sexualities worldwide as it intersects with imperialism, race, population control, law, and globalization."
HIS 014,"History of Global Capitalism",4,,,4,,4,,,,,4,,"Lecture-3 hour(s); Discussion-1 hour(s). History of institutions, workers, commodity chains, and the social and cultural context of capitalism around the world from 1500-present. Emphasis on transnational and comparative histories of political economies and individual human lives."
HIS 015A,"Africa to 1900",4,4,,4,,,,,,,4,,"Lecture-3 hour(s); Discussion-1 hour(s). Introduction to African history to 1900. Origins and impact of early human history, precolonial states and societies, slavery and the slave trade, religious and cultural movements, and the foundations of European colonialism."
HIS 015B,"Africa Today",4,4,,4,,,,,,,4,,"Lecture-3 hour(s); Discussion-1 hour(s). Survey of major themes in colonial and postcolonial sub-Saharan African history, including colonialism, decolonization, nationalism and politics, economic history and labor, urbanization, popular culture, gender, marriage, and family life."
HIS 016,"Sex, Science, & Society",4,4,,,,4,,,4,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Survey of the relationship between sex, science, and society in the history of the modern world. Emphasis on the development of scientific ideas about the human body against broader social, cultural, and political trends and from a global viewpoint. (Same course as STS 016.)"
HIS 017A,"History of the United States",4,4,,4,4,4,,,,,,4,"Lecture-3 hour(s); Discussion-1 hour(s). The experience of the American people from the Colonial Era to the Civil War."
HIS 017B,"History of the United States",4,4,,4,4,4,,,,,,4,"Lecture-3 hour(s); Discussion-1 hour(s). The experience of the American people from the Civil War to the end of the Cold War. Not open for credit to students who have completed HIS 017C."
HIS 018A,"Race in America to 1865",4,4,,4,4,4,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Introduction to history of race and racial formation in the United States to the Civil War through a comparative approach. Examines the experiences of African Americans, Asian Americans, Native American, Mexican Americans and other Latino/a groups. Only one unit of credit to students who have previously completed HIS 178A."
HIS 018B,"Race in the United States Since 1865",4,4,,4,4,4,,,,,,,"Lecture-3 hour(s); Discussion-1 hour(s). Introduction to the history of race and racial formation in America since 1865 though a comparative approach that examines the experiences of African Americans, Asian Americans, Native American and Mexican Americans and other Latino/a groups."
HIS 019,"Migration & Borders in Global History",4,,,4,,,,,,,4,4,"Lecture-3 hour(s); Discussion-1 hour(s). Introduction to global migration history from 1800 to the present; labor migration systems; border governance; undocumented migrants; partition, displacement, and refugee regimes; race, class, and gender in migration law."
HIS 020,"The Vietnam War",4,4,,4,4,4,,,,4,4,4,"Lecture-3 hour(s); Extensive Writing. A history of the Vietnam War, including its origins, fighting, and repercussions."
HIS 072A,"Women & Gender in America, to 1865",4,4,,4,4,4,,,,,,4,"Lecture-3 hour(s); Discussion-1 hour(s). History of women and gender in America through 1865, emphasizing intersections of gender, race, class, and sexuality. Topics include interracial marriage, slavery, witchcraft, meanings of motherhood, war, domestic labor, moral reform, women’s rights, migrations, the effects of commercialization and industrialization."
HIS 072B,"Women & Gender in America, 1865-Present",4,4,,4,4,4,,,,,,4,"Lecture-3 hour(s); Discussion-1 hour(s). History of women and gender in America since 1865, emphasizing intersections of gender, race, class, and sexuality. Covers emancipation, migration, immigration, war, media, same-sex and opposite-sex relationships, and the birth control, suffrage, labor, civil rights, feminist, and antifeminist movements."
HIS 080,"The History of the United States in the Middle East",2,2,,2,2,,,,,,2,,"Lecture-2 hour(s). History of the United States in the Middle East from 1900 to the present. Examination of U.S. foreign relations toward the Middle East, their regional ramifications and domestic repercussions."
HIS 080W,"The History of the United States in the Middle East",2,2,,2,,,,,,,,2,"Lecture/Discussion-1 hour(s); Extensive Writing. Must enroll in HIS 080 concurrently. History of the United States in the Middle East from 1900 to the present. Examination of U.S. foreign relations toward the Middle East, their regional ramifications and domestic repercussions with extensive writing."
HIS 085,"Nature, Man, & the Machine in America",4,4,,4,,,,,,,,4,"Seminar-4 hour(s); Term Paper. Limited enrollment. History of the attitudes and behavior of Americans toward their natural environment and their technology, from colonial times to the present. No final examination."
HIS 090,"Research in History",4,4,,,,,,,,,,4,"Seminar-3 hour(s); Extensive Writing. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Emphasis on primary sources and archival research."
HIS 092,"Internship in History",1-12,,,,,,,,,,,,"Internship-1-12 hour(s). Prerequisite(s): Consent of Instructor. Supervised internship and study as a historian, archivist, curator, or an in another history-related capacity, in an approved organization or institution. May be repeated for credit. (P/NP grading only.)"
HIS 098,"Directed Group Study",1-5,,,,,,,,,,,,"Variable. Prerequisite(s): Consent of Instructor. Primarily for lower division students. May be taught abroad. (P/NP grading only.)"
HIS 099,"Special Study for Undergraduates",1-5,,,,,,,,,,,,"Variable. (P/NP grading only.)"
HIS 100,"Selected Topics in History",4,4,,,,,,,,,,4,"Lecture-3 hour(s); Term Paper. Selected Topics in History may be organized around a particular geography (e.g., the Balkans), a chronological framework (e.g., the 1960s around the world) or a thematic approach (e.g., the rise of ethnic or racial identities in a particular region). May be repeated for credit when topic differs."
HIS 101,"Introduction to Historical Thought & Writing",5,,,,,,,,,,,5,"Lecture/Discussion-4 hour(s); Term Paper. Study of the history of historical thought and writing, analysis of critical and speculative philosophies of history and evaluation of modes of organization, interpretation, and style in historical writing."
HIS 102A,"Undergraduate Proseminar in History: Ancient",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Ancient. May be repeated for credit."
HIS 102B,"Undergraduate Proseminar in History: Medieval",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Medieval. May be repeated for credit."
HIS 102D,"Undergraduate Proseminar in History: Modern Europe to 1815",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Modern Europe to 1815. May be repeated for credit."
HIS 102E,"Undergraduate Proseminar in History: Europe Since 1815",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Europe since 1815. May be repeated for credit."
HIS 102F,"Undergraduate Proseminar in History: Russia",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Russia. May be repeated for credit."
HIS 102G,"Undergraduate Proseminar in History: China to 1800",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. China to 1800. May be repeated for credit."
HIS 102H,"Undergraduate Proseminar in History: China Since 1800",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. China since 1800. May be repeated for credit."
HIS 102I,"Undergraduate Proseminar in History: Britain",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Britain. May be repeated for credit."
HIS 102J,"Undergraduate Proseminar in History: Latin America Since 1810",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Latin America since 1810. May be repeated for credit."
HIS 102K,"Undergraduate Proseminar in History: American History to 1787",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. American History to 1787. May be repeated for credit."
HIS 102L,"Undergraduate Proseminar in History: United States, 1787-1896",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. United States, 1787-1896. May be repeated for credit."
HIS 102M,"Undergraduate Proseminar in History: United States Since 1896",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. United States since 1896. May be repeated for credit."
HIS 102N,"Undergraduate Proseminar in History: Japan",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Japan. May be repeated for credit."
HIS 102O,"Undergraduate Proseminar in History: Africa",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Africa. May be repeated for credit."
HIS 102P,"Undergraduate Proseminar in History: Christianity & Culture in Europe, 50-1850",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Christianity and Culture in Europe, 50-1850. May be repeated for credit."
HIS 102Q,"Undergraduate Proseminar in History: India",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. India. May be repeated for credit."
HIS 102R,"Undergraduate Proseminar in History: Muslim Societies",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Muslim Societies. May be repeated for credit."
HIS 102S,"Undergraduate Proseminar in History: Education Abroad Program",5,5,,5,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Education Abroad Program; may be taught abroad. May be repeated for credit."
HIS 102X,"Undergraduate Proseminar in History: Comparative History",5,,,,,,,,,,,5,"Seminar-3 hour(s); Term Paper. Limited enrollment. Designed primarily for history majors. Intensive reading, discussion, research, and writing in selected topics in the various fields of history. Comparative History, selected topics in cultural, political, economic, and social history that deal comparatively with more than one geographic field."
HIS 103,"Topics in Historical Research",4,,,,,,,,,,,4,"Discussion-3 hour(s); Term Paper. Prerequisite(s): Consent of Instructor. Individual research resulting in a research paper on a specific topic in one of various fields of history. May be repeated for credit. May be repeated for credit."
HIS 104A,"Introduction to Historical Research & Interpretation",4,,,,,,,,,,,4,"Seminar-3 hour(s); Term Paper. Prerequisite(s): Acceptance into History Department Honors Program. Directed reading and research aimed at preparing students to select appropriate topics and methodologies for a senior honors essay and to situate their topics within a meaningful, broad context of historical interpretations."
HIS 104B,"Honors Thesis",4,,,,,,,,,,,4,"Tutorial-4 hour(s). Prerequisite(s): HIS 104A. Research in preparation of a senior honors thesis under the direction of a faculty advisor."
HIS 104C,"Honors Thesis",4,,,,,,,,,,,4,"Tutorial-4 hour(s). Prerequisite(s): HIS 104A; HIS 104B. Completion of a senior honors thesis under the direction of a faculty advisor."
HIS 105,"Teaching History",4,4,,4,4,,,,,,,4,"Lecture-3 hour(s); Term Paper. Teaching of American and world history at the K-12 level. Emphasis on introducing college students to the multiple ways in which history is taught, and on understanding how history education is determined."
HIS 107,"Medicine's Histories: Human & Veterinary Medicine from the Ancient World to One Health",4,4,,4,,,,,,,,,"Lecture/Discussion-3 hour(s); Project (Term Project). Global, comparative study of the related histories of human and veterinary medicine from the ancient world to today's interdisciplinary One Health. Emphasis on reintegration of human and veterinary medicine to meet the biggest health challenges today."
HIS 108,"Global Environmental History",4,4,,4,,,,,,,,,"Lecture/Discussion-3 hour(s); Project (Term Project). Global, comparative study of how environmental change, human perceptions of nature, and manipulations of nature have changed over time. Primary focus post-1500, emphasis on critically analyzing many common ideas of environmental change. Not open for credit to students who have taken HIS 109A."
HIS 109,"Environmental Change, Disease & Public Health",4,,4,4,,,,,4,,4,,"Lecture/Discussion-3 hour(s); Project (Term Project). Analysis of environmental changes from pre-history to the present and their influence on disease distribution, virulence and public health. Focus on critical study of many human-driven environmental changes and the accelerated transformation/spread of pathogens under globalization. Not open for credit to students who have taken HIS 109B. (Same course as SAS 109.)"
HIS 110,"Themes in World History",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Prerequisite(s): Upper division standing recommended. Topics will emphasize the interaction of diverse regions of the world as well as common patterns of historical change. May be repeated for credit when instructor and/or topic differs."
HIS 110A,"Colonialism & the Making of the Modern World",4,4,,4,,,,,,4,4,4,"Lecture-3 hour(s); Term Paper. History of the modern world, focusing on struggles between Europeans and colonized peoples; the global formation of capitalism; the creation of nation-states; and the constitution of bourgeois bodies and racial selves in modern societies."
HIS 111A,"Ancient History",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s). History of ancient empires of the Near East and of their historical legacy to the Western world."
HIS 111B,"Ancient History",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s). Political, cultural and intellectual study of the Greek world from Minoan-Mycenaean period to end of Hellenistic Age."
HIS 111C,"Ancient History",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s). Development of Rome from earliest times. Rise and fall of the Roman Republic; the Empire to A.D."
HIS 112A,"Topics in Pre-Modern Jewish History",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Topics in the history of Jews from the Biblical era to the eras of Jewish emancipation. Topics can be framed chronologically (eg., medieval Jewry) or thematically (eg., trade and Jewish communities). May be repeated once for credit. May be repeated up to 1 time(s)."
HIS 112B,"Topics in Modern Jewish History",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Topics in the history of Jews from the era of Jewish emancipation to the present. Topics can be framed chronologically or thematically (eg. Zionism, assimilation, the post Holocaust Diaspora). May be repeated once for credit. May be repeated up to 1 time(s)."
HIS 112C,"History of Jews in the Muslim World",4,,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. History of Jewish communities in the lands of Islam from the time of the Prophet Muhammad to the present day."
HIS 113,"History of Modern Israel",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Topics include the rise and fall of utopian Zionism, the century-long struggle between Jews and Arabs, the development of modern Hebrew culture, the conflict between religious and secular Jews, and the nature of Israel's multicultural society."
HIS 115A,"History of West Africa",4,4,,,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Prerequisite(s): HIS 015 recommended. West and Central Africa from 1500 to the present. Origins and impact of precolonial states and societies, the trans-Atlantic slave trade, colonialism, decolonization, nationalism, and changes in religions, politics, economics, gender, and culture."
HIS 115B,"History of East Africa & the Indian Ocean",4,4,,,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Prerequisite(s): HIS 015 recommended. Eastern Africa and the Indian Ocean world from 1500 to the present. Origins and impact of precolonial states and societies, slavery, trade, colonialism, decolonization, nationalism, and changes in religions, politics, economics, gender, and culture."
HIS 115C,"History of Southern Africa from Exploration to the Rainbow Nation",4,4,,,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Prerequisite(s): HIS 015 recommended. Southern Africa from 1500 to the present. Origins and impact of precolonial states and societies, European colonization, industrialization, urbanization, nationalism, apartheid, and changes in religions, politics, economics, gender, and culture."
HIS 115D,"Postcolonial Africa",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Prerequisite(s): HIS 015 recommended. Survey of social, political, cultural and economic change in African societies since the ending of European colonial rule in the 20th century. Themes include development, health and medicine, war and conflict, urbanization, global and inter-continental migration, and family and gender."
HIS 115E,"Slavery, Africa, & the Atlantic World",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. History of the African Slave trades, from the early Egyptian and Saharan trades in the pre-modern period to the trans-Atlantic trade (15th-19th century) and the contemporary trafficking of humans."
HIS 115F,"History of Modern North Africa, 1800 to the Present",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. History of Morocco, Algeria, Tunisia and Libya (the Maghrib), 1800 to the present. Topics include conquest and pacification, reform movements, the rise of nationalism, decolonization, state capitalism, economic liberalization, Islamism, democratization and human rights, the interplay of history and memory."
HIS 116,"African History: Special Themes",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Prerequisite(s): HIS 015 recommended. Themes of African history, such as African states and empires, slave trade, relationship of Egypt to rest of Africa, Bantu origins and migrations, and French policy of Assimilation and Association."
HIS 119,"World War I",4,,,4,,,,,,,4,4,"Lecture-3 hour(s); Extensive Writing. The First World War and the settlement that followed from 1914-1919. Causes, conduct, and consequences of the war including military, political, economic, social, and cultural factors, with special emphasis on connections between the home front and the battlefield."
HIS 120,"World War II",4,,,4,,,,,,,4,4,"Lecture-3 hour(s); Extensive Writing. The Second World War from 1931 to 1945 in all of its theaters. Causes, conduct, and consequences of the war including military, political, economic, social, and cultural factors, with special emphasis on battlefield strategy and mobilization of the home front."
HIS 121A,"Medieval History",4,4,,4,,,,,,,4,4,"Lecture/Discussion-3 hour(s). European history from "the fall of the Roman Empire" to the 8th century."
HIS 121B,"Medieval History",4,4,,4,,,,,,,4,4,"Lecture/Discussion-3 hour(s). European history from Charlemagne to the 12th century."
HIS 121C,"Medieval History",4,4,,4,,,,,,,4,4,"Lecture/Discussion-3 hour(s). European history from the Crusades to the Renaissance."
HIS 122,"Selected Themes in Medieval History",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Each offering will focus on single major theme, such as medieval agrarian history, feudalism, the family, medieval Italy, or the Crusades. Readings include original sources in English translation and modern works. May be repeated for credit. May be repeated for credit."
HIS 125,"Topics in Early Modern European History",4,4,,4,,,,,,,4,4,"Discussion/Laboratory-3 hour(s); Term Paper. Social and cultural history, 1300-1800. Topics such as medieval and Renaissance Italy, early modern Italy, Ancient Regime France, family and sexuality, and material culture and daily life. May be repeated for credit. May be repeated for credit."
HIS 126Y,"The History of Human Rights in Europe",4,,,4,,,,,,,4,,"Lecture-3 hour(s); Web Electronic Discussion-1 hour(s). History of the origins, development, and state of international humanitarian law (IHL) and international human rights law (IHRL) in Europe. Emphasis on Enlightenment-era and modern theories of the source, utility, and limits of human rights. (Same course as HMR Y.)"
HIS 130A,"Christianity & Culture in Europe: 50-1450",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s). History of the ideas and institutions of Christianity and their impact on the late Roman Empire and medieval Europe in terms of outlook on life, art, politics and economics."
HIS 130B,"Christianity & Culture in Europe: 1450-1600",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s). History of the Lutheran, Zwinglian-Calvinist, Radical, Anglican, and Catholic Reformations as foundation stones of a new culture in Europe, with special attention to the interconnections between the revival of antiquity and the different reform movements."
HIS 130C,"Christianity & Culture in Europe: 1600-1850",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s). Survey of the intellectual, cultural and political reorientation of European society in the aftermath of the Wars of Religion. "Secularization" will be discussed in the context of the Enlightenment and Romanticism."
HIS 131A,"Early Modern European History",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s). Western European history from about 1350 to about 1500."
HIS 131B,"European History During the Renaissance & Reformation",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Survey of European society, politics, and culture from the late 15th through the early 17th centuries, with particular focus on the Italian and Northern Renaissance, on the Protestant Reformation, and the Catholic Counter Reformation."
HIS 131C,"The Old Regime: Absolution, Enlightenment & Revolution in Europe",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Survey of European society, politics, and culture in the 17th and 18th centuries, focusing on religious warfare, absolutism, Scientific Revolution, Enlightenment and the growth of religious tolerance, the French Revolution and the collapse of the old regime."
HIS 132,"Crime & Punishment in Early Modern Europe",4,4,,4,,,,,,,4,4,"Lecture-3 hour(s); Term Paper. Deviance and crime in early modern Europe, contrasting imaginary crimes, e.g. witchcraft, with "real" crimes such as highway robbery and infanticide. Examines impact of gender, sexual orientation, ethnicity, and class in processes of criminalization."
HIS 133,"European Thought & Culture from the Renaissance to the Enlightenment",4,4,,4,,,,,,,4,,"Lecture-3 hour(s); Term Paper. History of European thought on politics, society, science, and religion from 1400 to 1800. Cultural impact of printing press, Protestant Reformation, wars, exploration, and empire."
HIS 134A,"The Age of Revolution",4,4,,4,,,,,,,,4,"Lecture-3 hour(s). Ideas and institutions during the French Revolution and the Napoleonic era."
HIS 135A,"History of Science to the 18th Century",4,4,,4,,,,,,,4,4,"Lecture/Discussion-3 hour(s); Term Paper. Survey of the historical development of science, technology, and medicine from the ancient world to the 18th century, with special emphasis on Isaac Newton as the culmination of the 17th-century scientific revolution."
HIS 135B,"History of Science, 18th to 20th Centuries",4,4,,4,,,,,,,4,4,"Lecture/Discussion-3 hour(s); Term Paper. Survey of the historical development of scientific thought in geology, biology, chemistry, physics, and cosmology from the 18th to the 20th century, with special emphasis on emergence of broad explanatory principles that serve more than one science."
HIS 136,"Scientific Revolution",4,4,,4,,,,,,,,,"Lecture/Discussion-3 hour(s); Term Paper. The rise of modern science in Europe, 1500–1750. The transformation of ideas about nature, knowledge, medicine, and technology in the age of Copernicus, Vesalius, Galileo, Descartes, and Newton."
